fold,auc_sofa,auc_cat,delta
1,0.5316350316350316,0.6235431235431237,0.09190809190809213
2,0.6120909477263069,0.6211826847185963,0.009091736992289379
3,0.6003107237589997,0.7073436907919666,0.10703296703296683
4,0.6401970443349754,0.7086017430845017,0.06840469874952637
5,0.5540280409245927,0.6678893520272831,0.11386131110269038
media,0.5876523576759813,0.6657121188330943,0.078059761157113
std,0.039463802415396404,0.038310684313644254,
