variable,p_uni_BH,sig_uni_BH,p_multi_BH,sig_multi_BH,coef_multi,OR_multi,categoria
rr_max,7.364696707684696e-06,True,0.021002526500576664,True,0.3024262540079907,1.353137884245982,Sig. en ambos (robusta)
gpt_max,0.90797689967632,False,0.059365129471317536,False,-0.34278574683028296,0.7097902700853166,No sig. en ninguno
sofa_max,0.0013636928157984,True,0.3140643354421573,False,0.23572326813152794,1.265823967861892,Solo univariante (absorbida)
ph_min,0.00048861492571,True,0.42784252183860333,False,-0.1729591491489733,0.8411719767338716,Solo univariante (absorbida)
spo2_min,8.040046345240994e-06,True,0.42784252183860333,False,-0.15333083061123548,0.8578458731865035,Solo univariante (absorbida)
diuresis_ml_kg_3h,0.0062694703617983,True,0.4714977551196884,False,-0.15201477881440562,0.8589755860065525,Solo univariante (absorbida)
hr_media,0.0005834714015497,True,0.4714977551196884,False,0.1260095864523028,1.1342930420770496,Solo univariante (absorbida)
map_min,0.0005834714015497,True,0.4714977551196884,False,-0.11118422511214006,0.8947738939233333,Solo univariante (absorbida)
tp_max,0.1810203913961458,False,0.4714977551196884,False,0.11525619328359214,1.1221608908319098,No sig. en ninguno
pf_min,0.0003416110589339,True,0.4714977551196884,False,-0.15376799975998662,0.8574709313988255,Solo univariante (absorbida)
lactato_max,0.0027679134500582,True,0.5372306476210165,False,0.10947057572352863,1.1156872421622996,Solo univariante (absorbida)
glucemia_min,0.5627690784626976,False,0.6263616730865642,False,-0.09574612984640468,0.9086946772457567,No sig. en ninguno
leucocitos_min,0.90797689967632,False,0.6616603188414997,False,-0.08319158124313687,0.9201748420921348,No sig. en ninguno
hemoglobina_min,0.9232469506954804,False,0.6616603188414997,False,0.07306083467557986,1.0757959806235313,No sig. en ninguno
creatinina_max,0.1070904338677988,False,0.6616603188414997,False,-0.08425303222407902,0.9191986397904587,No sig. en ninguno
bicarbonato_min,0.1668756594265067,False,0.6616603188414997,False,-0.08015583148226535,0.922972507005718,No sig. en ninguno
ventilacion_invasiva_3h,0.90797689967632,False,0.6616603188414997,False,0.08320662918608608,1.086766342994673,No sig. en ninguno
contador_estancia_uci,0.7361015116725467,False,0.6749601507325121,False,0.04787222470644928,1.0490366058002927,No sig. en ninguno
gcs_min,0.9458183069360276,False,0.6952856206180571,False,-0.05591297881117564,0.9456214214103214,No sig. en ninguno
anchor_age,0.9773283190940872,False,0.6952856206180571,False,-0.050948456127180665,0.9503276528377218,No sig. en ninguno
gender,0.90797689967632,False,0.6952856206180571,False,-0.04905909471999906,0.952124862483821,No sig. en ninguno
temp_min,0.7361015116725467,False,0.6952856206180571,False,0.05060281742609542,1.051905011960954,No sig. en ninguno
bilirrubina_media,0.90797689967632,False,0.6953175080551156,False,-0.04907895659308935,0.9521059516884387,No sig. en ninguno
peso_kg,0.90797689967632,False,0.700891507160583,False,-0.04306510450274312,0.9578490277523641,No sig. en ninguno
plaquetas_min,0.90797689967632,False,0.7935329169707026,False,0.028993216862016592,1.0294176117697453,No sig. en ninguno
fio2_max,0.0013636928157984,True,0.8480941277890207,False,-0.018085797041618813,0.9820767694621364,Solo univariante (absorbida)
