modelo,auc_modelo,variable,caida_AUC_media,caida_AUC_pp,caida_AUC_desv,caida_AUC_IC_inf,caida_AUC_IC_sup,p_valor_empirico,IC_excluye_cero,p_emp_menor_005
RF,0.7071625281133916,creatinina_max,-0.001969,-0.1969,0.002591,-0.006189,0.000729,0.672,False,False
RF,0.7071625281133916,plaquetas_min,-0.002861,-0.2861,0.001808,-0.005298,-0.000665,0.812,False,False
XGB,0.6932086543661378,pf_min,0.029832,2.9832,0.014156,0.012525,0.044925,0.092,True,False
XGB,0.6932086543661378,map_min,0.022674,2.2674,0.007489,0.012918,0.032324,0.052,True,False
XGB,0.6932086543661378,diuresis_ml_kg_6h,0.018817,1.8817,0.008706,0.008761,0.030577,0.08,True,False
XGB,0.6932086543661378,temp_min,0.011559,1.1559,0.007311,0.002979,0.023228,0.128,True,False
XGB,0.6932086543661378,rr_max,0.011013,1.1013,0.008551,-0.002944,0.018651,0.184,False,False
XGB,0.6932086543661378,hr_media,0.010011,1.0011,0.00331,0.00581,0.013972,0.08,True,False
XGB,0.6932086543661378,ph_min,0.009449,0.9449,0.00471,0.001308,0.013176,0.132,True,False
XGB,0.6932086543661378,spo2_min,0.00766,0.766,0.007252,-0.004341,0.015621,0.172,False,False
XGB,0.6932086543661378,sofa_max,0.00755,0.755,0.003761,0.000948,0.00995,0.16,True,False
XGB,0.6932086543661378,gpt_max,0.006169,0.6169,0.006639,-0.001108,0.017174,0.24,False,False
XGB,0.6932086543661378,glucemia_min,0.004563,0.4563,0.003546,-0.000718,0.008841,0.248,False,False
XGB,0.6932086543661378,ventilacion_invasiva_6h,0.002907,0.2907,0.000764,0.001716,0.003653,0.14,True,False
XGB,0.6932086543661378,lactato_max,0.002064,0.2064,0.004594,-0.002713,0.008664,0.376,False,False
XGB,0.6932086543661378,gender,0.001592,0.1592,0.000799,0.00024,0.002379,0.184,True,False
XGB,0.6932086543661378,hemoglobina_min,0.000612,0.0612,0.001507,-0.001096,0.002556,0.344,False,False
XGB,0.6932086543661378,gcs_min,0.000599,0.0599,0.00138,-0.00065,0.002819,0.44,False,False
