modelo,auc_modelo,variable,caida_AUC_media,caida_AUC_pp,caida_AUC_desv,caida_AUC_IC_inf,caida_AUC_IC_sup,p_valor_empirico,IC_excluye_cero,p_emp_menor_005
RF,0.6554522366737681,leucocitos_min,-0.001287,-0.1287,0.004439,-0.008714,0.003218,0.536,False,False
RF,0.6554522366737681,peso_kg,-0.002883,-0.2883,0.003446,-0.006915,0.002114,0.72,False,False
XGB,0.6491001227364517,pf_min,0.016113,1.6113,0.009549,0.000595,0.025276,0.14,True,False
XGB,0.6491001227364517,sofa_max,0.013513,1.3513,0.003595,0.008196,0.017402,0.068,True,False
XGB,0.6491001227364517,bicarbonato_min,0.013176,1.3176,0.003669,0.009162,0.01842,0.08,True,False
XGB,0.6491001227364517,hr_media,0.008736,0.8736,0.006985,-0.001845,0.017693,0.164,False,False
XGB,0.6491001227364517,spo2_min,0.008264,0.8264,0.003589,0.003384,0.013556,0.148,True,False
XGB,0.6491001227364517,map_min,0.008177,0.8177,0.004517,0.003836,0.014192,0.188,True,False
XGB,0.6491001227364517,temp_min,0.006983,0.6983,0.003222,0.004369,0.012531,0.136,True,False
XGB,0.6491001227364517,diuresis_ml_kg_12h,0.006261,0.6261,0.005645,-0.000664,0.01344,0.224,False,False
XGB,0.6491001227364517,glucemia_min,0.006037,0.6037,0.004302,0.001925,0.013171,0.2,True,False
XGB,0.6491001227364517,lactato_max,0.005928,0.5928,0.003986,0.001238,0.011619,0.24,True,False
XGB,0.6491001227364517,gpt_max,0.005801,0.5801,0.004773,0.001438,0.01396,0.184,True,False
XGB,0.6491001227364517,rr_max,0.003214,0.3214,0.003495,-0.00119,0.007374,0.264,False,False
XGB,0.6491001227364517,creatinina_max,0.00212,0.212,0.003076,-0.002674,0.005404,0.324,False,False
XGB,0.6491001227364517,anchor_age,0.001439,0.1439,0.001641,-0.001039,0.003232,0.344,False,False
XGB,0.6491001227364517,gcs_min,0.001097,0.1097,0.003764,-0.003357,0.00687,0.408,False,False
XGB,0.6491001227364517,ph_min,0.000732,0.0732,0.00175,-0.001861,0.002929,0.392,False,False
XGB,0.6491001227364517,ventilacion_invasiva_12h,0.000684,0.0684,0.001414,-0.001467,0.00228,0.336,False,False
XGB,0.6491001227364517,bilirrubina_media,0.00026,0.026,0.000524,-0.000406,0.00102,0.46,False,False
XGB,0.6491001227364517,gender,-5.7e-05,-0.0057,0.000701,-0.000792,0.001025,0.528,False,False
XGB,0.6491001227364517,contador_estancia_uci,-7.2e-05,-0.0072,0.000357,-0.000691,0.00022,0.452,False,False
XGB,0.6491001227364517,hemoglobina_min,-0.000289,-0.0289,0.00218,-0.003412,0.002767,0.556,False,False
XGB,0.6491001227364517,tp_max,-0.000541,-0.0541,0.001421,-0.002626,0.000856,0.524,False,False
XGB,0.6491001227364517,fio2_max,-0.000822,-0.0822,0.003461,-0.005259,0.004559,0.556,False,False
XGB,0.6491001227364517,peso_kg,-0.000927,-0.0927,0.003215,-0.003698,0.003318,0.576,False,False
XGB,0.6491001227364517,plaquetas_min,-0.001274,-0.1274,0.002073,-0.004617,0.000812,0.608,False,False
XGB,0.6491001227364517,leucocitos_min,-0.002333,-0.2333,0.001862,-0.005463,-0.000459,0.756,False,False
LGBM,0.6268733922744903,pf_min,0.015953,1.5953,0.00976,0.002547,0.027186,0.132,True,False
LGBM,0.6268733922744903,sofa_max,0.012305,1.2305,0.006353,0.006012,0.022652,0.096,True,False
LGBM,0.6268733922744903,bicarbonato_min,0.009943,0.9943,0.006333,0.001815,0.016782,0.172,True,False
LGBM,0.6268733922744903,diuresis_ml_kg_12h,0.009375,0.9375,0.005485,0.00116,0.016732,0.144,True,False
LGBM,0.6268733922744903,temp_min,0.008147,0.8147,0.003476,0.004579,0.013935,0.168,True,False
LGBM,0.6268733922744903,hr_media,0.007702,0.7702,0.006467,-0.002873,0.013612,0.204,False,False
LGBM,0.6268733922744903,glucemia_min,0.006643,0.6643,0.001058,0.005012,0.007692,0.188,True,False
LGBM,0.6268733922744903,rr_max,0.006626,0.6626,0.003768,0.002109,0.012612,0.128,True,False
LGBM,0.6268733922744903,gpt_max,0.006328,0.6328,0.00669,-0.00236,0.014795,0.28,False,False
LGBM,0.6268733922744903,spo2_min,0.006154,0.6154,0.00355,0.001734,0.00981,0.22,True,False
LGBM,0.6268733922744903,map_min,0.005378,0.5378,0.004184,0.000974,0.012166,0.276,True,False
LGBM,0.6268733922744903,lactato_max,0.00358,0.358,0.006073,-0.006983,0.008011,0.296,False,False
LGBM,0.6268733922744903,gcs_min,0.00305,0.305,0.005001,-0.002025,0.010265,0.34,False,False
LGBM,0.6268733922744903,creatinina_max,0.002099,0.2099,0.005116,-0.003121,0.010675,0.376,False,False
LGBM,0.6268733922744903,ventilacion_invasiva_12h,0.001529,0.1529,0.002126,-0.001434,0.003929,0.276,False,False
LGBM,0.6268733922744903,fio2_max,0.001054,0.1054,0.003767,-0.002574,0.007401,0.476,False,False
LGBM,0.6268733922744903,anchor_age,0.000799,0.0799,0.002925,-0.003645,0.004376,0.4,False,False
LGBM,0.6268733922744903,plaquetas_min,0.000491,0.0491,0.002582,-0.002488,0.003938,0.476,False,False
LGBM,0.6268733922744903,tp_max,0.000423,0.0423,0.002748,-0.002867,0.00402,0.464,False,False
LGBM,0.6268733922744903,ph_min,0.000347,0.0347,0.002051,-0.002116,0.002829,0.432,False,False
LGBM,0.6268733922744903,contador_estancia_uci,-3.2e-05,-0.0032,0.000604,-0.001009,0.000603,0.5,False,False
LGBM,0.6268733922744903,hemoglobina_min,-0.000489,-0.0489,0.003617,-0.004855,0.005257,0.532,False,False
LGBM,0.6268733922744903,bilirrubina_media,-0.000522,-0.0522,0.004762,-0.008253,0.003848,0.476,False,False
LGBM,0.6268733922744903,gender,-0.00067,-0.067,0.000827,-0.001886,0.000301,0.756,False,False
LGBM,0.6268733922744903,leucocitos_min,-0.00188,-0.188,0.002461,-0.0039,0.002136,0.652,False,False
LGBM,0.6268733922744903,peso_kg,-0.001892,-0.1892,0.004062,-0.007782,0.002409,0.568,False,False
CAT,0.6447657545062072,pf_min,0.016454,1.6454,0.007705,0.005402,0.025184,0.088,True,False
CAT,0.6447657545062072,bicarbonato_min,0.01432,1.432,0.008903,0.001508,0.025046,0.112,True,False
CAT,0.6447657545062072,gpt_max,0.011383,1.1383,0.008759,0.000609,0.02359,0.172,True,False
CAT,0.6447657545062072,diuresis_ml_kg_12h,0.011236,1.1236,0.003763,0.004897,0.015012,0.1,True,False
CAT,0.6447657545062072,rr_max,0.009707,0.9707,0.003133,0.005256,0.013566,0.08,True,False
CAT,0.6447657545062072,sofa_max,0.00945,0.945,0.007357,-0.000632,0.017295,0.212,False,False
CAT,0.6447657545062072,hr_media,0.008904,0.8904,0.008113,-0.004948,0.015123,0.212,False,False
CAT,0.6447657545062072,map_min,0.007797,0.7797,0.006763,-0.000641,0.017919,0.228,False,False
CAT,0.6447657545062072,temp_min,0.007454,0.7454,0.003588,0.003227,0.012527,0.156,True,False
CAT,0.6447657545062072,glucemia_min,0.007159,0.7159,0.005816,0.002638,0.017113,0.196,True,False
CAT,0.6447657545062072,lactato_max,0.005946,0.5946,0.003966,0.00104,0.010585,0.2,True,False
CAT,0.6447657545062072,gcs_min,0.003966,0.3966,0.006001,-0.003536,0.011663,0.34,False,False
CAT,0.6447657545062072,bilirrubina_media,0.003873,0.3873,0.003592,-0.000757,0.008042,0.284,False,False
CAT,0.6447657545062072,tp_max,0.002888,0.2888,0.00302,-0.00183,0.006419,0.304,False,False
CAT,0.6447657545062072,spo2_min,0.002814,0.2814,0.004124,-0.003234,0.007997,0.352,False,False
CAT,0.6447657545062072,ventilacion_invasiva_12h,0.001635,0.1635,0.00356,-0.002826,0.005688,0.368,False,False
CAT,0.6447657545062072,ph_min,0.000362,0.0362,0.004224,-0.005392,0.005595,0.5,False,False
CAT,0.6447657545062072,anchor_age,0.000147,0.0147,0.001323,-0.001553,0.002173,0.492,False,False
CAT,0.6447657545062072,contador_estancia_uci,0.000122,0.0122,0.001255,-0.002071,0.001026,0.376,False,False
