modelo,AUC,AUPRC,Brier,calibration_intercept,calibration_slope
RF sin calibrar,0.6994,0.2079,0.1068,-0.9891,1.035
RF + Platt,0.6993,0.2079,0.0878,-0.0011,0.9993
RF + Isotonic,0.6878,0.1948,0.0883,-0.4127,0.7921
