metrica,media,std,min,max
auc,0.6823261842547618,0.025792894578955648,0.6478457603777296,0.7171524128045866
auprc,0.19494764805070744,0.02641093172849808,0.16308248368407677,0.23460094102657134
brier,0.08978312111324119,0.001679391423523564,0.08836316412258977,0.09220927433376956
logloss,0.3159889560606053,0.004754101613301576,0.31041336133645253,0.3224458848886934
ece,0.016703231965860803,0.006384156895154119,0.009003361844974191,0.02535436406075149
