metrica,media,desviacion_estandar
mejor_auc_grid_interno,0.6715579598443543,0.014213579337765663
auc_sin_calibrar,0.666912030759196,0.035814588203604336
auc_calibrado,0.666912030759196,0.035814588203604336
auprc_sin_calibrar,0.18991372356284153,0.04331078571519872
auprc_calibrado,0.18991372356284153,0.04331078571519872
brier_sin_calibrar,0.0905379855874335,0.0022292915092144328
brier_calibrado,0.09132993675269278,0.0022814647309140133
logloss_sin_calibrar,0.320516735653585,0.00967418230421583
logloss_calibrado,0.32345804869651007,0.0057160190079240105
ece_sin_calibrar,0.024198704892806743,0.012132610950166742
ece_calibrado,0.031415681670430316,0.009843632150601425
