params,mean_test_score,std_test_score,rank_test_score
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 300}",0.6674750716082332,0.006626312755238857,1
"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 300}",0.6674070467496795,0.0065290755208126236,2
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.6664724232189451,0.004111707761960915,3
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 400}",0.66610426346706,0.0028603727180150636,4
"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 500}",0.6654954098017737,0.008398298245299042,5
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 500}",0.6650258928575029,0.004620425791056214,6
"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 400}",0.66461216522197,0.005720509316583221,7
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 400}",0.6639545585505086,0.004718850333534591,8
"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 400}",0.6638374468594158,0.004603418869220536,9
"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 300}",0.6633228814351172,0.011354058845386775,10
"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 500}",0.6629854424292884,0.012335594933393085,11
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 500}",0.6625279658862576,0.005448166232669046,12
"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 500}",0.6621149840692316,0.005158612332160799,13
"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 300}",0.6618991333671049,0.008282789537598487,14
"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 500}",0.6615045771914408,0.008098723713425505,15
"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 400}",0.661091496045385,0.010332059872943063,16
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 300}",0.6603568485448328,0.002950611448956935,17
"{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 500}",0.660184259570027,0.007222702326097061,18
"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 300}",0.6589882414881653,0.013563408261977643,19
"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 400}",0.6589216429689552,0.00816272774223084,20
"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 300}",0.6584357600249914,0.006052139017874299,21
"{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 400}",0.6579949737366984,0.006040478285361895,22
"{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 300}",0.6578333751893529,0.006009589834708418,23
"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 500}",0.6574279457817217,0.020595512322933336,24
"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 400}",0.6573765865051705,0.018925062145072225,25
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 400}",0.6565553391921143,0.0054056522353538045,26
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 500}",0.6554046602393578,0.005443175412964545,27
