params,mean_test_score,std_test_score,rank_test_score
"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 400}",0.7066874261695085,0.029844967077657797,1
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 400}",0.7065541994175769,0.029967261121683905,2
"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 300}",0.7055338122459216,0.029234115143622584,3
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 300}",0.7053215021020399,0.029664043403447537,4
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 500}",0.7040712518020799,0.028404454913640263,5
"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 500}",0.7039002251580088,0.028101540816834622,6
"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 500}",0.702935380787007,0.03507199328073435,7
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 400}",0.7016031332596988,0.03075052648906413,8
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 500}",0.701462179596059,0.030880789480151098,9
"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 500}",0.7007554820489347,0.03183561575764012,10
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 300}",0.7001526279976419,0.028593856465532266,11
"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 300}",0.7000734646376535,0.031714804857982275,12
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 500}",0.6998562164674024,0.03438383660713953,13
"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 400}",0.6997469351449613,0.031051382306223285,14
"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 400}",0.6995723924062031,0.03203776094009818,15
"{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 500}",0.6965978237817909,0.0311801143995975,16
"{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 300}",0.6960872728387918,0.02854064758781102,17
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 400}",0.6958616979965447,0.03345434198257157,18
"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 500}",0.6952453293467667,0.03408128708422432,19
"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 400}",0.6947198743606156,0.03342422116730141,20
"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 500}",0.6935789003850941,0.03129108399650522,21
"{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 400}",0.6933050898217,0.02697487665420366,22
"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 400}",0.6929408553989141,0.029293453343943815,23
"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 300}",0.6922342653088412,0.02943346240295458,24
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.6915770904684816,0.03143223221617903,25
"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 300}",0.6910902550468628,0.03012110020584585,26
"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 300}",0.6909957328255043,0.03371151623488284,27
