params,mean_test_score,std_test_score,rank_test_score
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 400}",0.6789102738482321,0.047934209997024295,1
"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 400}",0.6786299538223268,0.04760259777362366,2
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 300}",0.6785308417605721,0.045814391319028765,3
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 500}",0.678206505848697,0.04953138676042965,4
"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 300}",0.6781353319462619,0.04556426368648843,5
"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 500}",0.6777035059167617,0.048968757500895986,6
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 500}",0.6733898247211215,0.04368399998168226,7
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 300}",0.6724230015962401,0.0429425549659259,8
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 500}",0.6717192109838686,0.039089453482337534,9
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.6715479526677154,0.04028307802895196,10
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 400}",0.6709161161006335,0.0420936226789902,11
"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 500}",0.6692362876325649,0.04206750333857953,12
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 400}",0.6686650252008755,0.036939854375878406,13
"{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 500}",0.6684161878963889,0.043450065597550144,14
"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 500}",0.6680833721708798,0.039849190544487816,15
"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 400}",0.6674387367384194,0.03596157956080087,16
"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 400}",0.6668792951669357,0.04192294420323164,17
"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 300}",0.6665824790769078,0.043704949508545546,18
"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 300}",0.6665482997747536,0.0332710726124675,19
"{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 300}",0.6662095255668642,0.043336469617917865,20
"{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 400}",0.6659447066402819,0.04239416121030227,21
"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 500}",0.6635589958724789,0.034476766647094904,22
"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 400}",0.6628890340632982,0.03379330712730164,23
"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 300}",0.6617248687155254,0.03518674947155732,24
"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 500}",0.6576990150074612,0.03698856667773013,25
"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 400}",0.6554582525207094,0.034447454113192465,26
"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 300}",0.6550888266131376,0.03720976062344388,27
