params,mean_test_score,std_test_score,rank_test_score
"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 500}",0.6904297060796027,0.00974901754574926,1
"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 400}",0.6894989355025994,0.007298658870809279,2
"{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 500}",0.6892511835137815,0.006893504326634506,3
"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 500}",0.6890962000669557,0.01020559657503736,4
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 500}",0.6887956239363068,0.0020599411895032994,5
"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 500}",0.688701746999773,0.0022446725322115817,6
"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 500}",0.6883962744355946,0.0071908750148280305,7
"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 400}",0.6882488870129283,0.011690054417619245,8
"{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 400}",0.6879206748929695,0.006061350179869928,9
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 400}",0.6878148681420752,0.0037851875723553816,10
"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 400}",0.6878083102994467,0.0038554689215456414,11
"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 300}",0.6875824506751879,0.004718560802945035,12
"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 300}",0.6867652334312685,0.0068620511474390125,13
"{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 300}",0.6862013551510499,0.0028644742038657954,14
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 300}",0.6855684312212765,0.001598979864267985,15
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 400}",0.6854752026294255,0.0036384184382903923,16
"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 300}",0.6854560211467883,0.001722373772321575,17
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 300}",0.6848860003527859,0.002440533779489687,18
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 500}",0.6848531146746842,0.001879328907209807,19
"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 400}",0.6847381998729801,0.00813957766033114,20
"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 300}",0.6845083977979535,0.007591165448187304,21
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 500}",0.6827926182071545,0.012267897012681135,22
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 400}",0.6827490967931252,0.013300037511429602,23
"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 400}",0.682402670499949,0.01058243008473637,24
"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 500}",0.6823856342833333,0.01042901065896391,25
"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 300}",0.6813844696071655,0.011456489535145673,26
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.6791815055429509,0.012596477051351345,27
