params,mean_test_score,std_test_score,rank_test_score
"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 400}",0.7071574097655097,0.022949828180602254,1
"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 500}",0.7066057975375193,0.021406285886314044,2
"{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 400}",0.7060548342560974,0.022979765211376277,3
"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 300}",0.705918287796559,0.0221118278372458,4
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 300}",0.7054534847605565,0.02193099754702564,5
"{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 500}",0.7046566550676548,0.02012129956459705,6
"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 400}",0.7045547918109203,0.022253374639812733,7
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 400}",0.7043426876963771,0.02216788491507176,8
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 500}",0.7041679096423894,0.017381406979186276,9
"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 500}",0.7038817288171048,0.01059904811835254,10
"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 400}",0.7037273950312436,0.012835407941568362,11
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 400}",0.7035661800644104,0.017579757884583908,12
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 500}",0.7033450841968945,0.021084623245643946,13
"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 500}",0.7032409372464982,0.017805695107528347,14
"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 500}",0.7031996409790272,0.021011854615170824,15
"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 300}",0.7028422836359032,0.012194198533337058,16
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 300}",0.7026418375016391,0.020822332615424363,17
"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 300}",0.7024332949072377,0.026190240252798692,18
"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 400}",0.7017250550625306,0.017489326689987615,19
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 400}",0.7004307037937098,0.02018953200383679,20
"{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 300}",0.7001613532024233,0.02518311979419715,21
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.6999376884495861,0.018395714183233738,22
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 500}",0.6999359486745211,0.017669354708849595,23
"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 300}",0.6982418351434286,0.016354802165563554,24
"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 500}",0.6960692334897173,0.013724692745474406,25
"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 400}",0.6949764818348366,0.01519924896142422,26
"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 300}",0.6921985644255272,0.016680376796691935,27
