params,mean_test_score,std_test_score,rank_test_score
"{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 500}",0.6973051965153223,0.0035939728285741797,1
"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 500}",0.6956884596081677,0.004091647744717468,2
"{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 400}",0.6949410600661192,0.0007048883216605076,3
"{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 300}",0.6949108977838944,0.0011435595497797468,4
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 500}",0.6932374216158804,0.005620321111448599,5
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 300}",0.6930707023016504,0.005791974646224582,6
"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 300}",0.69259876572561,0.0014168987956633865,7
"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 400}",0.6924593436526734,0.0006356662830259401,8
"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 400}",0.6922704207062718,0.005784444860813013,9
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 500}",0.6907589381185196,0.008140358377418588,10
"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 500}",0.6900767836016138,0.008542304636738489,11
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 400}",0.6880086046276856,0.007365732703691411,12
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 500}",0.6878202642082832,0.0025376718770200976,13
"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 400}",0.6874803212895602,0.006899641221300063,14
"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 400}",0.6864060756367047,0.007687516145192496,15
"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 500}",0.6862373072543888,0.0050068537442950894,16
"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 300}",0.6860305570676024,0.006234045481459888,17
"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 500}",0.6858655237753187,0.0025891817790118037,18
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 400}",0.6858412354012643,0.002515704316608776,19
"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 500}",0.685698552612784,0.0053668237897992336,20
"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 300}",0.6854893514621375,0.006125455020539766,21
"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 300}",0.6847747289176022,0.00722413447740762,22
"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 400}",0.6834381683986138,0.005973214321297899,23
"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 300}",0.6820250971564547,0.007304434392685969,24
"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 400}",0.6818687905014622,0.007404335348593783,25
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.6783789465547287,0.0015298123293728154,26
"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 300}",0.6776696648996339,0.00670563450811848,27
