fold,auc_sofa,auc_cat,delta
1,0.6169230000998702,0.7057824827723959,0.08885948267252564
2,0.639280712284914,0.7154361744697878,0.07615546218487379
3,0.5813325330132053,0.7228891556622647,0.14155662264905944
4,0.6102171654461142,0.7073968020677597,0.09717963662164553
5,0.5853457669209132,0.7087398322479285,0.12339406532701525
media,0.6066198355530034,0.7120488894440273,0.10542905389102397
std,0.021344144474955674,0.00633789713683885,
