variable,p_uni,p_uni_BH,sig_uni_BH,p_multi,p_multi_BH,sig_multi_BH,coef_multi,OR_multi,categoria
pf_min,8.558979584104317e-13,2.2253346918671225e-11,True,6.702059055753258e-05,0.0010185714227115069,True,-0.36311379921146547,0.6955072808152987,Sig. en ambos (robusta)
gpt_max,0.4004801510261637,0.452716692464359,False,7.835164790088515e-05,0.0010185714227115069,True,-0.40389436367726883,0.6677146524640553,Solo multivariante (efecto ajustado)
diuresis_ml_kg_6h,8.166960287382326e-10,3.5390161245323407e-09,True,0.0002615508019275014,0.002025353321292344,True,-0.2879641626132759,0.7497884622166453,Sig. en ambos (robusta)
rr_max,2.1411615389300828e-11,2.7543402662823704e-10,True,0.0003115928186603606,0.002025353321292344,True,0.23997738025599738,1.2712203953162775,Sig. en ambos (robusta)
sofa_max,1.662549886314714e-10,1.080657426104564e-09,True,0.002123675965899505,0.011043115022677427,True,0.25818176501789347,1.2945741055255813,Sig. en ambos (robusta)
ventilacion_invasiva_6h,0.0382740149343438,0.0710803134494956,False,0.006039630986407613,0.02617173427443299,True,0.2198454217172161,1.2458841290725389,Solo multivariante (efecto ajustado)
spo2_min,3.1780849226335044e-11,2.7543402662823704e-10,True,0.039962648870073385,0.1337961124003005,False,-0.12773569123917883,0.8800859628365896,Solo univariante (absorbida)
bicarbonato_min,4.240305889439629e-05,0.0001102479531254,True,0.04116803458470785,0.1337961124003005,False,-0.15681857382182487,0.8548591385758857,Solo univariante (absorbida)
map_min,3.883782265385551e-09,1.4425476985717756e-08,True,0.07115796096029059,0.19169077235157217,False,-0.10545894962941417,0.8999114137855889,Solo univariante (absorbida)
temp_min,0.1762331177736458,0.2545589478952662,False,0.07372722013522007,0.19169077235157217,False,-0.11130723137351761,0.8946638379007922,No sig. en ninguno
hr_media,0.0001268320179939,0.0002748027056535,True,0.09036614248474328,0.21269171726510935,False,0.11583131154385361,1.1228064516702978,Solo univariante (absorbida)
creatinina_max,5.337185781140122e-05,0.0001261516639178,True,0.09816540796851202,0.21269171726510935,False,-0.11496206716840689,0.8913999565899573,Solo univariante (absorbida)
hemoglobina_min,0.9642019448506274,0.9642019448506274,False,0.21996753722563944,0.4399350744512789,False,0.0776282672145395,1.080720844621106,No sig. en ninguno
gender,0.3231783147076062,0.420131809119888,False,0.33385020122219056,0.6200075165554968,False,0.06233027867831646,1.0643138068420552,No sig. en ninguno
tp_max,0.0288676703732679,0.0577353407465359,False,0.38543677202683413,0.6680904048465125,False,0.05450881380542928,1.0560217839432402,No sig. en ninguno
glucemia_min,0.223465212462639,0.305794501264664,False,0.45475879784905016,0.7389830465047065,False,-0.04743154856242178,0.9536757513745712,No sig. en ninguno
peso_kg,0.1724329669898996,0.2545589478952662,False,0.6021754556903065,0.9209742263498806,False,-0.03557845687580598,0.9650470166858233,No sig. en ninguno
fio2_max,5.260536513483423e-10,2.7354789870113803e-09,True,0.6987298427153791,0.9927487279833219,False,0.026891566044502987,1.0272564072485229,Solo univariante (absorbida)
bilirrubina_media,0.0908197935136326,0.1574209754236299,False,0.745243145706332,0.9927487279833219,False,0.021443373175775444,1.021674934492371,No sig. en ninguno
plaquetas_min,0.5303935251734745,0.5516092661804135,False,0.8787217064388163,0.9927487279833219,False,0.010649175675141755,1.0107060799616194,No sig. en ninguno
lactato_max,3.7200285229344136e-06,1.0746749066254972e-05,True,0.8809669738549197,0.9927487279833219,False,0.010151456778193875,1.0102031576137227,Solo univariante (absorbida)
ph_min,8.48437545721248e-09,2.757422023594056e-08,True,0.9420616539527423,0.9927487279833219,False,-0.0053768758374101245,0.994637553685973,Solo univariante (absorbida)
gcs_min,0.372352803305508,0.4400533129974185,False,0.9479349780126944,0.9927487279833219,False,0.004984323491049399,1.004996765895114,No sig. en ninguno
anchor_age,0.3537304385239925,0.4379519715058955,False,0.9576863130464519,0.9927487279833219,False,0.003683802253253588,1.0036905957922306,No sig. en ninguno
leucocitos_min,0.1158380048581649,0.1882367578945179,False,0.9641390232659565,0.9927487279833219,False,0.0027852232457616765,1.0027891055835818,No sig. en ninguno
contador_estancia_uci,0.4324436560455309,0.4684806273826585,False,0.9927487279833219,0.9927487279833219,False,0.0005815502287651806,1.0005817193618844,No sig. en ninguno
