metrica,media,desviacion_estandar
mejor_auc_grid_interno,0.7024856036745656,0.008644046032175737
auc_sin_calibrar,0.7021914978773103,0.024510704656695647
auc_calibrado,0.7021914978773103,0.024510704656695647
auprc_sin_calibrar,0.20733337374538002,0.014571525237275776
auprc_calibrado,0.20733337374538002,0.014571525237275776
brier_sin_calibrar,0.0940877300537109,0.0054603686093602725
brier_calibrado,0.08882034353163254,0.000765321038463883
logloss_sin_calibrar,0.3290786014710992,0.018875090358744937
logloss_calibrado,0.3112977915205803,0.0033813053227578645
ece_sin_calibrar,0.05935517054141219,0.04403513616744162
ece_calibrado,0.019606322040707263,0.01227768276939515
