ventana,n_grupo,observados_positivos,esperados_positivos,prob_media_predicha,prob_media_observada
3_12h,167,9,5.183,0.031,0.0539
3_12h,167,3,7.318,0.0438,0.018
3_12h,167,9,8.926,0.0535,0.0539
3_12h,167,13,10.566,0.0633,0.0778
3_12h,167,9,12.459,0.0746,0.0539
3_12h,167,10,14.448,0.0865,0.0599
3_12h,167,26,17.1,0.1024,0.1557
3_12h,166,26,20.671,0.1245,0.1566
3_12h,166,35,26.016,0.1567,0.2108
3_12h,166,32,41.846,0.2521,0.1928
