ventana,n_grupo,observados_positivos,esperados_positivos,prob_media_predicha,prob_media_observada
12_48h,408,21,17.906,0.0439,0.0515
12_48h,408,23,23.587,0.0578,0.0564
12_48h,408,23,27.671,0.0678,0.0564
12_48h,408,21,31.754,0.0778,0.0515
12_48h,408,39,36.189,0.0887,0.0956
12_48h,408,51,40.781,0.1,0.125
12_48h,408,46,46.365,0.1136,0.1127
12_48h,408,72,53.757,0.1318,0.1765
12_48h,408,62,64.995,0.1593,0.152
12_48h,408,97,96.731,0.2371,0.2377
