test_size_calibracion,metodo_calibracion,fold,n_modelo,positivos_modelo,n_calibracion,positivos_calibracion,n_test,positivos_test,prevalencia_test,auc_sin_calibrar,auc_calibrado,auprc_sin_calibrar,auprc_calibrado,brier_sin_calibrar,brier_calibrado,logloss_sin_calibrar,logloss_calibrado,ece_sin_calibrar,ece_calibrado,tiempo_min
0.2,sigmoid,1,2101,216,523,54,657,68,0.1035007610350076,0.7485019474682911,0.7485019474682911,0.22831275700920306,0.22831275700920306,0.09445904557027128,0.08787747291421642,0.33259489106734896,0.30300436065885794,0.0874915936305884,0.02938526049112402,0.01839998960494995
0.2,sigmoid,2,2100,215,525,55,656,68,0.10365853658536585,0.6870998399359745,0.6870998399359745,0.19072358001088935,0.19072358001088935,0.1004673026114404,0.08968667138577792,0.3483647914761538,0.3156691100788158,0.09543599376119354,0.00542666873627893,0.01821463108062744
0.2,sigmoid,3,2099,216,526,54,656,68,0.10365853658536585,0.7008303321328531,0.7008303321328531,0.20984872392630594,0.20984872392630594,0.09843699429752067,0.0888070519990465,0.34427108748028284,0.31119321679635126,0.09355738062045862,0.014463137676006401,0.017374380429585775
0.2,sigmoid,4,2105,217,520,54,656,67,0.10213414634146341,0.67326356333781,0.67326356333781,0.18523717973844625,0.18523717973844625,0.1001083863290397,0.08895287988055849,0.34801378311858255,0.31410555407055885,0.09467899319008591,0.005837820640145229,0.017609035968780516
0.2,sigmoid,5,2099,217,526,54,656,67,0.10213414634146341,0.7082076882142767,0.7082076882142767,0.2097075934335274,0.2097075934335274,0.09507731923488069,0.08764166424174093,0.3352550172275326,0.306973592227213,0.08646619568196037,0.017405425318787984,0.017633954683939617
0.2,isotonic,1,2101,216,523,54,657,68,0.1035007610350076,0.7485019474682911,0.7323853989813242,0.22831275700920306,0.19829124508888105,0.09445904557027128,0.0912576787028028,0.33259489106734896,0.3578004085934382,0.0874915936305884,0.029386668931316667,0.01798865000406901
0.2,isotonic,2,2100,215,525,55,656,68,0.10365853658536585,0.6870998399359745,0.6832608043217288,0.19072358001088935,0.17327455952158594,0.10046730261144038,0.09090078470269343,0.3483647914761538,0.31607675395275125,0.09543599376119352,0.021834951942915206,0.017698522408803305
0.2,isotonic,3,2099,216,526,54,656,68,0.10365853658536585,0.7008303321328531,0.6960034013605442,0.20984872392630594,0.19178578242980496,0.09843699429752067,0.09098126424966371,0.34427108748028284,0.515935315150425,0.09355738062045862,0.014926030440131941,0.01793034076690674
0.2,isotonic,4,2105,217,520,54,656,67,0.10213414634146341,0.67326356333781,0.6740237691001698,0.18523717973844625,0.16880580042275137,0.1001083863290397,0.09278608190415615,0.34801378311858255,0.6223442316966991,0.09467899319008591,0.023605420844207484,0.017653648058573404
0.2,isotonic,5,2099,217,526,54,656,67,0.10213414634146341,0.7082076882142767,0.6944986442997237,0.2097075934335274,0.1750194241282053,0.09507731923488069,0.08936837377572125,0.3352550172275326,0.35924595004589155,0.08646619568196037,0.024120639117602316,0.017696086565653482
