auc,auprc,brier,logloss,ece,fold
0.6022765113674204,0.17822691380576844,0.09778857958519557,0.3441008789307155,0.01348597357275282,1
0.6113320381276182,0.16698316151552506,0.09809970332865653,0.3444074623068108,0.013150203229398538,2
0.7062523683213339,0.28066637106907966,0.09343000379356589,0.3252509754390499,0.029752698494527597,3
0.7104206138688899,0.24832798520587862,0.09400567836923224,0.32606902072047816,0.029472969258133013,4
0.6458355437665783,0.20492879519832952,0.09583769088959883,0.33527338265817974,0.005306540757871099,5
