metrica,media,std,min,max
auc,0.6552234150903682,0.05115819713000322,0.6022765113674204,0.7104206138688899
auprc,0.2158266453589163,0.04790280781689098,0.16698316151552506,0.28066637106907966
brier,0.09583233119324981,0.002125779290784772,0.09343000379356589,0.09809970332865653
logloss,0.33502034401104686,0.009303290867090122,0.3252509754390499,0.3444074623068108
ece,0.01823367706253661,0.010891542492768962,0.005306540757871099,0.029752698494527597
