ventana,modelo,n,positivos,prevalencia,auc,auprc,brier,brier_skill_score,ece
v4_6_24_rf,RF 6-24h,3281,338,0.103,0.7028,0.1983,0.0914,0.0113,0.0231
v4_6_24_rf,SOFA,3281,338,0.103,0.6011,0.1443,0.1503,-0.6267,0.1931
v4p_3_12_catboost,CatBoost 3-12h,1667,172,0.1032,0.662,0.172,0.0948,-0.0249,0.0361
v4p_3_12_catboost,SOFA,1667,172,0.1032,0.5766,0.1297,0.1671,-0.806,0.2124
v4l_12_48_catboost,CatBoost 12-48h,4080,455,0.1115,0.6552,0.1965,0.1005,-0.0144,0.0516
v4l_12_48_catboost,SOFA,4080,455,0.1115,0.5866,0.1499,0.1526,-0.5403,0.1984
