ventana,fold,proporcion_calibracion,metodo_calibracion,n_modelo,positivos_modelo,n_calibracion,positivos_calibracion,mejor_auc_grid_interno,mejores_parametros,brier_sin_calibrar_en_cal,brier_calibrado_en_cal,logloss_sin_calibrar_en_cal,logloss_calibrado_en_cal,ece_sin_calibrar_en_cal,ece_calibrado_en_cal,ece_5_bins_sin_calibrar_en_cal,ece_5_bins_calibrado_en_cal,ece_10_bins_sin_calibrar_en_cal,ece_10_bins_calibrado_en_cal,ece_15_bins_sin_calibrar_en_cal,ece_15_bins_calibrado_en_cal
v5_6_24_catboost,1,0.2,isotonic,2101,216,523,54,0.6743131291651335,"{'modelo__bagging_temperature': 0, 'modelo__depth': 6, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 5, 'modelo__learning_rate': 0.01}",0.08406949683870077,0.08066305822332433,0.2936046303764479,0.2791912973233372,0.008950435238422668,0.0,0.007998819686897588,1.2232619845893814e-17,0.008950435238422668,0.0,0.020868095461104536,6.5740381059006335e-18
v5_6_24_catboost,1,0.2,sigmoid,2101,216,523,54,0.6743131291651335,"{'modelo__bagging_temperature': 0, 'modelo__depth': 6, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 5, 'modelo__learning_rate': 0.01}",0.08406949683870077,0.0839165490379868,0.2936046303764479,0.2949121969067749,0.008950435238422668,0.014103660078236794,0.007998819686897588,0.003818379915882528,0.008950435238422668,0.014103660078236794,0.020868095461104536,0.018207390552093982
v5_6_24_catboost,2,0.2,isotonic,2100,215,525,55,0.7139197600613295,"{'modelo__bagging_temperature': 0, 'modelo__depth': 6, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 5, 'modelo__learning_rate': 0.05}",0.10120877917039776,0.09008649151897215,0.39092765613936714,0.3180630821473715,0.07139213536513686,0.0,0.06739341557210564,1.3666316755504903e-17,0.07139213536513686,0.0,0.08051884862748072,0.0
v5_6_24_catboost,2,0.2,sigmoid,2100,215,525,55,0.7139197600613295,"{'modelo__bagging_temperature': 0, 'modelo__depth': 6, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 5, 'modelo__learning_rate': 0.05}",0.10120877917039776,0.09281159689619957,0.39092765613936714,0.3318386880179403,0.07139213536513686,0.0037077785944967514,0.06739341557210564,0.00367455772360041,0.07139213536513686,0.0037077785944967514,0.08051884862748072,0.008670961445780173
v5_6_24_catboost,3,0.2,isotonic,2099,216,526,54,0.6978291194998368,"{'modelo__bagging_temperature': 0, 'modelo__depth': 6, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 5, 'modelo__learning_rate': 0.01}",0.08561424122376043,0.08220852581182074,0.30491686869845686,0.2919473355414579,0.015517330976478727,9.39257121593526e-18,0.007369760616512921,1.4774831126190295e-18,0.015517330976478727,9.39257121593526e-18,0.013465474234673211,1.4774831126190295e-18
v5_6_24_catboost,3,0.2,sigmoid,2099,216,526,54,0.6978291194998368,"{'modelo__bagging_temperature': 0, 'modelo__depth': 6, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 5, 'modelo__learning_rate': 0.01}",0.08561424122376043,0.08538275944670815,0.30491686869845686,0.30377737831689255,0.015517330976478727,0.015676583589752394,0.007369760616512921,0.010019484184774495,0.015517330976478727,0.015676583589752394,0.013465474234673211,0.021982148013458037
v5_6_24_catboost,4,0.2,isotonic,2105,217,520,54,0.7242740755029232,"{'modelo__bagging_temperature': 0, 'modelo__depth': 4, 'modelo__iterations': 1000, 'modelo__l2_leaf_reg': 5, 'modelo__learning_rate': 0.01}",0.08947277521467972,0.08521713560756171,0.3140486816807391,0.2975683279526252,0.026154713005166377,1.3557531166095663e-17,0.02579345846631247,1.649321704851795e-17,0.026154713005166377,1.3557531166095663e-17,0.02926731650054154,3.629575272813012e-18
v5_6_24_catboost,4,0.2,sigmoid,2105,217,520,54,0.7242740755029232,"{'modelo__bagging_temperature': 0, 'modelo__depth': 4, 'modelo__iterations': 1000, 'modelo__l2_leaf_reg': 5, 'modelo__learning_rate': 0.01}",0.08947277521467972,0.08958449682823444,0.3140486816807391,0.31661297525617477,0.026154713005166377,0.016035260238928522,0.02579345846631247,0.007078023341744901,0.026154713005166377,0.016035260238928522,0.02926731650054154,0.03019810365119309
v5_6_24_catboost,5,0.2,isotonic,2099,217,526,54,0.6987429905572305,"{'modelo__bagging_temperature': 0, 'modelo__depth': 4, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 5, 'modelo__learning_rate': 0.01}",0.08558982468836672,0.08119359701395135,0.3023495814805207,0.2853178499647696,0.01488264792502781,1.2875209981394402e-17,0.008155769769744541,0.0,0.01488264792502781,1.2875209981394402e-17,0.010071577577458744,1.435269309401343e-17
v5_6_24_catboost,5,0.2,sigmoid,2099,217,526,54,0.6987429905572305,"{'modelo__bagging_temperature': 0, 'modelo__depth': 4, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 5, 'modelo__learning_rate': 0.01}",0.08558982468836672,0.08542011751569592,0.3023495814805207,0.3027361208819372,0.01488264792502781,0.03552144308381279,0.008155769769744541,0.005218894735598149,0.01488264792502781,0.03552144308381279,0.010071577577458744,0.024687151893527364
