ventana,metrica,media,desviacion_estandar,min,max
v5_6_24_catboost,mejor_auc_grid_interno,0.7018158149572907,0.01892493507296202,0.6743131291651335,0.7242740755029232
v5_6_24_catboost,auc_sin_calibrar,0.7093166487637552,0.019162438247275104,0.6792717086834733,0.7290666266506602
v5_6_24_catboost,auc_calibrado,0.6974900243147204,0.03077776995942523,0.6536114445778312,0.7296418567426971
v5_6_24_catboost,auprc_sin_calibrar,0.2242282830394066,0.031850524901766895,0.17873526661027597,0.25918253142451086
v5_6_24_catboost,auprc_calibrado,0.2006579621014374,0.030622129708979876,0.15394683360249617,0.22443507873648763
v5_6_24_catboost,brier_sin_calibrar,0.08905824157009119,0.0052293056272392025,0.08565890592669921,0.09831438223378453
v5_6_24_catboost,brier_calibrado,0.08865881251736128,0.003367178161710472,0.08549856563384833,0.09416301394838826
v5_6_24_catboost,logloss_sin_calibrar,0.3148617221540463,0.024018372573532433,0.3017665882059972,0.35765994901714054
v5_6_24_catboost,logloss_calibrado,0.3685216856411016,0.04456217128373512,0.31432070189525413,0.4267226242412201
v5_6_24_catboost,ece_sin_calibrar,0.025952419281073464,0.019544215729983584,0.011341059234582788,0.0599887420385849
v5_6_24_catboost,ece_calibrado,0.021929518856959703,0.010410631415741462,0.010435301874443118,0.03804683420094982
v5_6_24_catboost,ece_5_bins_sin_calibrar,0.02147903139601037,0.022121244194669872,0.007207985139005852,0.059988742038584904
v5_6_24_catboost,ece_5_bins_calibrado,0.010481174591318691,0.0018757512411797838,0.00866613652328359,0.013138423723276617
v5_6_24_catboost,ece_10_bins_sin_calibrar,0.025952419281073464,0.019544215729983584,0.011341059234582788,0.0599887420385849
v5_6_24_catboost,ece_10_bins_calibrado,0.021929518856959703,0.010410631415741462,0.010435301874443118,0.03804683420094982
v5_6_24_catboost,ece_15_bins_sin_calibrar,0.027072561298641707,0.019008011742963515,0.013481021208179594,0.060645654259905896
v5_6_24_catboost,ece_15_bins_calibrado,0.017481510481143474,0.0051099914904906545,0.011386702669805618,0.024497926221797025
