ventana,metrica,media,desviacion_estandar,min,max
v5l_12_48_catboost,mejor_auc_grid_interno,0.664221374258519,0.021057628532719166,0.6455493140180807,0.6955895493525025
v5l_12_48_catboost,auc_sin_calibrar,0.6652577820004689,0.04841553264978032,0.6058678890170602,0.7188025767336113
v5l_12_48_catboost,auc_calibrado,0.6546772932119925,0.04446447205095996,0.5958426932183837,0.7076241000378931
v5l_12_48_catboost,auprc_sin_calibrar,0.22980919542705402,0.0393455531160897,0.17448407634548738,0.2847542342311997
v5l_12_48_catboost,auprc_calibrado,0.19491788732793608,0.03694674077700889,0.14530200075434577,0.24832823173661167
v5l_12_48_catboost,brier_sin_calibrar,0.09506794725809783,0.0019027945047002742,0.0929237047247258,0.09801021776887121
v5l_12_48_catboost,brier_calibrado,0.09617152587255488,0.003626116530573927,0.09176991610642353,0.10162061086287331
v5l_12_48_catboost,logloss_sin_calibrar,0.3322167664983019,0.008513715683718073,0.3236832579463425,0.344749264797318
v5l_12_48_catboost,logloss_calibrado,0.41495838065217694,0.08691942648479876,0.32020762259868607,0.5151853007214882
v5l_12_48_catboost,ece_sin_calibrar,0.018409426183945837,0.01056664085493026,0.009727181384438418,0.03614776829946295
v5l_12_48_catboost,ece_calibrado,0.015994367187690418,0.01300624756284424,0.006539386219953349,0.03830340906506018
v5l_12_48_catboost,ece_5_bins_sin_calibrar,0.0066611764546445195,0.002740228723583929,0.0039631119154865,0.010539852764878262
v5l_12_48_catboost,ece_5_bins_calibrado,0.01180866128704776,0.007394123209717717,0.0062345122057871705,0.024659969146768913
v5l_12_48_catboost,ece_10_bins_sin_calibrar,0.018409426183945837,0.01056664085493026,0.009727181384438418,0.03614776829946295
v5l_12_48_catboost,ece_10_bins_calibrado,0.015994367187690418,0.01300624756284424,0.006539386219953349,0.03830340906506018
v5l_12_48_catboost,ece_15_bins_sin_calibrar,0.01564310622439495,0.002575890345377404,0.011441673190675584,0.018246628390400064
v5l_12_48_catboost,ece_15_bins_calibrado,0.023766924709960235,0.011315405101028988,0.006234512205787181,0.035081841590187894
