ventana,metrica,media,desviacion_estandar,min,max
v5p_3_12_catboost,mejor_auc_grid_interno,0.6894068727544875,0.01630438520987768,0.6653265297319223,0.7039641522400143
v5p_3_12_catboost,auc_sin_calibrar,0.6855407267798144,0.024044770969595515,0.6634425582313463,0.7239369326325849
v5p_3_12_catboost,auc_calibrado,0.6549410288727733,0.04770993123072795,0.5908507698381366,0.7243669374104156
v5p_3_12_catboost,auprc_sin_calibrar,0.20108049827301175,0.03731411762858752,0.16263342925639282,0.2392474451234295
v5p_3_12_catboost,auprc_calibrado,0.16838321766376657,0.030306825270586396,0.12933212477901507,0.2064254287389897
v5p_3_12_catboost,brier_sin_calibrar,0.09004820634913464,0.002081865149899256,0.08715778131129073,0.09182972029529443
v5p_3_12_catboost,brier_calibrado,0.09152776153368411,0.003584471718289169,0.08801482495046849,0.09527482551782013
v5p_3_12_catboost,logloss_sin_calibrar,0.3169180527442323,0.006757066360253723,0.307924255199888,0.3234377615511401
v5p_3_12_catboost,logloss_calibrado,0.47625409909024335,0.17279404437199067,0.3018312220221079,0.7213292026764884
v5p_3_12_catboost,ece_sin_calibrar,0.02497813237378692,0.009137263018440612,0.008992947833790234,0.031291507481248766
v5p_3_12_catboost,ece_calibrado,0.02169068683306874,0.008082215683894613,0.012668770388431286,0.03386264869001284
v5p_3_12_catboost,ece_5_bins_sin_calibrar,0.022334787155148438,0.009592248556799056,0.008254447544380813,0.031291507481248766
v5p_3_12_catboost,ece_5_bins_calibrado,0.0131909252463699,0.006895523064447513,0.007264263113972994,0.023613790151263404
v5p_3_12_catboost,ece_10_bins_sin_calibrar,0.02497813237378692,0.009137263018440612,0.008992947833790234,0.031291507481248766
v5p_3_12_catboost,ece_10_bins_calibrado,0.02169068683306874,0.008082215683894613,0.012668770388431286,0.03386264869001284
v5p_3_12_catboost,ece_15_bins_sin_calibrar,0.03443664941511615,0.007724450153059382,0.0263880144469075,0.04586038108344298
v5p_3_12_catboost,ece_15_bins_calibrado,0.025581930293859533,0.0066559936550328325,0.0166591260986445,0.03386264869001283
