ventana,n_bins,ece_sin_calibrar_oof,ece_calibrado_oof
v5_6_24_catboost,5,0.015709135807911445,0.008825640022490016
v5_6_24_catboost,10,0.017324863391584643,0.008853788433931961
v5_6_24_catboost,15,0.017632953850322732,0.009460008630511909
