ventana,n_bins,ece_sin_calibrar_oof,ece_calibrado_oof
v5p_3_12_catboost,5,0.02125916852263212,0.007907471725502326
v5p_3_12_catboost,10,0.02125916852263212,0.014771757725190186
v5p_3_12_catboost,15,0.02202619687545907,0.019026587417113886
v5_6_24_catboost,5,0.015709135807911445,0.008825640022490016
v5_6_24_catboost,10,0.017324863391584643,0.008853788433931961
v5_6_24_catboost,15,0.017632953850322732,0.009460008630511909
v5l_12_48_catboost,5,0.0029366494111199913,0.008238308918843387
v5l_12_48_catboost,10,0.0077261957409863885,0.008345897690721549
v5l_12_48_catboost,15,0.005271018907601778,0.014618532197473494
