ventana,metrica,media,desviacion_estandar,min,max
v5p_3_12_catboost,mejor_auc_grid_interno,0.6894068727544875,0.01630438520987768,0.6653265297319223,0.7039641522400143
v5p_3_12_catboost,auc_sin_calibrar,0.6855407267798144,0.024044770969595515,0.6634425582313463,0.7239369326325849
v5p_3_12_catboost,auc_calibrado,0.6549410288727733,0.04770993123072795,0.5908507698381366,0.7243669374104156
v5p_3_12_catboost,auprc_sin_calibrar,0.20108049827301175,0.03731411762858752,0.16263342925639282,0.2392474451234295
v5p_3_12_catboost,auprc_calibrado,0.16838321766376657,0.030306825270586396,0.12933212477901507,0.2064254287389897
v5p_3_12_catboost,brier_sin_calibrar,0.09004820634913464,0.002081865149899256,0.08715778131129073,0.09182972029529443
v5p_3_12_catboost,brier_calibrado,0.09152776153368411,0.003584471718289169,0.08801482495046849,0.09527482551782013
v5p_3_12_catboost,logloss_sin_calibrar,0.3169180527442323,0.006757066360253723,0.307924255199888,0.3234377615511401
v5p_3_12_catboost,logloss_calibrado,0.47625409909024335,0.17279404437199067,0.3018312220221079,0.7213292026764884
v5p_3_12_catboost,ece_sin_calibrar,0.02497813237378692,0.009137263018440612,0.008992947833790234,0.031291507481248766
v5p_3_12_catboost,ece_calibrado,0.02169068683306874,0.008082215683894613,0.012668770388431286,0.03386264869001284
v5p_3_12_catboost,ece_5_bins_sin_calibrar,0.022334787155148438,0.009592248556799056,0.008254447544380813,0.031291507481248766
v5p_3_12_catboost,ece_5_bins_calibrado,0.0131909252463699,0.006895523064447513,0.007264263113972994,0.023613790151263404
v5p_3_12_catboost,ece_10_bins_sin_calibrar,0.02497813237378692,0.009137263018440612,0.008992947833790234,0.031291507481248766
v5p_3_12_catboost,ece_10_bins_calibrado,0.02169068683306874,0.008082215683894613,0.012668770388431286,0.03386264869001284
v5p_3_12_catboost,ece_15_bins_sin_calibrar,0.03443664941511615,0.007724450153059382,0.0263880144469075,0.04586038108344298
v5p_3_12_catboost,ece_15_bins_calibrado,0.025581930293859533,0.0066559936550328325,0.0166591260986445,0.03386264869001283
v5_6_24_catboost,mejor_auc_grid_interno,0.7018158149572907,0.01892493507296202,0.6743131291651335,0.7242740755029232
v5_6_24_catboost,auc_sin_calibrar,0.7093166487637552,0.019162438247275104,0.6792717086834733,0.7290666266506602
v5_6_24_catboost,auc_calibrado,0.6974900243147204,0.03077776995942523,0.6536114445778312,0.7296418567426971
v5_6_24_catboost,auprc_sin_calibrar,0.2242282830394066,0.031850524901766895,0.17873526661027597,0.25918253142451086
v5_6_24_catboost,auprc_calibrado,0.2006579621014374,0.030622129708979876,0.15394683360249617,0.22443507873648763
v5_6_24_catboost,brier_sin_calibrar,0.08905824157009119,0.0052293056272392025,0.08565890592669921,0.09831438223378453
v5_6_24_catboost,brier_calibrado,0.08865881251736128,0.003367178161710472,0.08549856563384833,0.09416301394838826
v5_6_24_catboost,logloss_sin_calibrar,0.3148617221540463,0.024018372573532433,0.3017665882059972,0.35765994901714054
v5_6_24_catboost,logloss_calibrado,0.3685216856411016,0.04456217128373512,0.31432070189525413,0.4267226242412201
v5_6_24_catboost,ece_sin_calibrar,0.025952419281073464,0.019544215729983584,0.011341059234582788,0.0599887420385849
v5_6_24_catboost,ece_calibrado,0.021929518856959703,0.010410631415741462,0.010435301874443118,0.03804683420094982
v5_6_24_catboost,ece_5_bins_sin_calibrar,0.02147903139601037,0.022121244194669872,0.007207985139005852,0.059988742038584904
v5_6_24_catboost,ece_5_bins_calibrado,0.010481174591318691,0.0018757512411797838,0.00866613652328359,0.013138423723276617
