iter	Logloss
0	0.6498173327
1	0.6107744908
2	0.5763372728
3	0.5471129888
4	0.5196857554
5	0.4961903638
6	0.4752694949
7	0.4571346196
8	0.4405124147
9	0.4260493117
10	0.4124916285
11	0.4014448306
12	0.3905489573
13	0.3812320844
14	0.3734979044
15	0.3663185649
16	0.3598347515
17	0.3534480214
18	0.3481365325
19	0.3422909618
20	0.3378090317
21	0.333997149
22	0.330015697
23	0.3267552437
24	0.3234212265
25	0.3201986766
26	0.3173090912
27	0.3152594751
28	0.312436353
29	0.310250884
30	0.3086380823
31	0.3062630269
32	0.3048035489
33	0.3031658685
34	0.3017951972
35	0.3001296311
36	0.2989183184
37	0.2968877086
38	0.2953117815
39	0.2938957761
40	0.2923419931
41	0.291229779
42	0.2903174012
43	0.2891383262
44	0.2878438985
45	0.2868341379
46	0.2859920037
47	0.2849864431
48	0.2841043007
49	0.2829640044
50	0.2820190783
51	0.2808096895
52	0.2799407772
53	0.2786373164
54	0.2778290022
55	0.2769351697
56	0.2761921077
57	0.2755507455
58	0.2744318151
59	0.2737010961
60	0.2730667853
61	0.2722371975
62	0.271176069
63	0.2705781529
64	0.2701624081
65	0.2696498716
66	0.26890921
67	0.268312415
68	0.2671403205
69	0.2665875254
70	0.2661501655
71	0.2654734622
72	0.2646820597
73	0.2639330027
74	0.2634694426
75	0.2626622377
76	0.2622380473
77	0.2615174893
78	0.2609394633
79	0.260489612
80	0.2596483618
81	0.2590507366
82	0.2584322314
83	0.2579056175
84	0.2574021826
85	0.2567840106
86	0.2559319911
87	0.2552651602
88	0.2547856538
89	0.2539535686
90	0.2532823266
91	0.2527370992
92	0.2517738603
93	0.2513126014
94	0.250655362
95	0.2501919094
96	0.2494984973
97	0.2492014272
98	0.2487033473
99	0.2480347677
100	0.2471651172
101	0.2466451579
102	0.2461447017
103	0.2456863614
104	0.2452631329
105	0.2446853658
106	0.2441890837
107	0.2432054086
108	0.2427959238
109	0.2421326786
110	0.2416585554
111	0.2410946159
112	0.2407286245
113	0.2399834904
114	0.2394962292
115	0.2388942541
116	0.2385830968
117	0.2381551326
118	0.2377771107
119	0.2374111434
120	0.2372080945
121	0.2365854795
122	0.2361932438
123	0.2359422746
124	0.2353938892
125	0.2349824855
126	0.2345914472
127	0.2342371803
128	0.233802015
129	0.2328624926
130	0.2322539709
131	0.2315872827
132	0.2310355356
133	0.2305264221
134	0.2301162498
135	0.2297706136
136	0.2292901064
137	0.2288615998
138	0.2284814632
139	0.2280703692
140	0.2272124862
141	0.226710597
142	0.2263974791
143	0.2255338123
144	0.2251243597
145	0.2246436218
146	0.2239042329
147	0.2235019218
148	0.2229361111
149	0.2223936517
150	0.2218537679
151	0.2214193739
152	0.2208130318
153	0.2200093555
154	0.219444997
155	0.2189852667
156	0.2186530497
157	0.2178610777
158	0.217359737
159	0.2167519684
160	0.216340245
161	0.2159562626
162	0.2155757572
163	0.2150726043
164	0.2143407207
165	0.2138833928
166	0.2135273906
167	0.2131093906
168	0.2124476064
169	0.2117891983
170	0.2115179787
171	0.2111078462
172	0.2106854477
173	0.2101822424
174	0.2094138291
175	0.2089566161
176	0.2084933835
177	0.2081379521
178	0.2072749991
179	0.2066093638
180	0.2061299132
181	0.2054950659
182	0.2048323438
183	0.2043928981
184	0.2037681575
185	0.2032261087
186	0.2026270869
187	0.2020085635
188	0.2014707466
189	0.200947148
190	0.2002744376
191	0.2000612276
192	0.1996000782
193	0.1989317824
194	0.1985949109
195	0.1981841925
196	0.1977934812
197	0.1973978587
198	0.196986006
199	0.1963940978
200	0.1960371729
201	0.195462121
202	0.1952152817
203	0.1947531891
204	0.1944658546
205	0.1939644863
206	0.1934946398
207	0.1931768574
208	0.1927962352
209	0.1922172715
210	0.1918467304
211	0.1914624914
212	0.1909586414
213	0.1902515454
214	0.1896369698
215	0.1889982426
216	0.1887109428
217	0.1882742414
218	0.1878939263
219	0.1873585226
220	0.1869454803
221	0.1866786544
222	0.1861691963
223	0.1857075605
224	0.1851568245
225	0.1847510664
226	0.1842894185
227	0.1838797463
228	0.1834389839
229	0.1827523863
230	0.1824461853
231	0.1819474128
232	0.1814680004
233	0.1811622487
234	0.1808692859
235	0.1804804825
236	0.1797117395
237	0.1791441131
238	0.1787062353
239	0.178300139
240	0.1772155696
241	0.1768652432
242	0.1764137785
243	0.1760605214
244	0.175573258
245	0.1750884297
246	0.1748475339
247	0.1743882375
248	0.1739962099
249	0.1734764107
250	0.1728628746
251	0.1725895457
252	0.1720320117
253	0.1715977358
254	0.1712307633
255	0.1706889607
256	0.1702566544
257	0.1698179124
258	0.1695977058
259	0.1693586777
260	0.1689482705
261	0.1685627643
262	0.1682129063
263	0.1678879642
264	0.1674972718
265	0.1671070486
266	0.1666209106
267	0.1662001151
268	0.1656037974
269	0.1650880478
270	0.164527494
271	0.1641855141
272	0.1639565657
273	0.1636452937
274	0.163367748
275	0.1630268241
276	0.1625836971
277	0.1622626265
278	0.1618876987
279	0.1616346827
280	0.1614642079
281	0.1611108208
282	0.1609755922
283	0.1606757551
284	0.160269745
285	0.159863931
286	0.1595045034
287	0.159064588
288	0.1588137194
289	0.1583978628
290	0.1580552155
291	0.1577490435
292	0.1574007177
293	0.156878907
294	0.1565388176
295	0.1560071275
296	0.1556599123
297	0.1554456031
298	0.1552289726
299	0.1549882885
300	0.1546700927
301	0.1543654422
302	0.1540822449
303	0.1538336943
304	0.1535690428
305	0.153037947
306	0.1525940521
307	0.1523687747
308	0.1519064301
309	0.1515006538
310	0.1512729678
311	0.1510530212
312	0.1506121889
313	0.1503055387
314	0.1498613221
315	0.1496452636
316	0.1494000643
317	0.1491553201
318	0.1488545299
319	0.1483786417
320	0.1482078484
321	0.1478341338
322	0.1476738106
323	0.1470978874
324	0.146867944
325	0.1464795796
326	0.1461363599
327	0.145734014
328	0.1454243225
329	0.1448363283
330	0.1445284624
331	0.1439755821
332	0.1435531452
333	0.1431170408
334	0.1428471327
335	0.1423996438
336	0.1422230078
337	0.1418549582
338	0.1415126545
339	0.1412261159
340	0.140907932
341	0.1404336452
342	0.1401133931
343	0.1396630941
344	0.1394451356
345	0.139113652
346	0.1388851464
347	0.138535344
348	0.1382229758
349	0.1379438606
350	0.1375304711
351	0.1373010862
352	0.1369263706
353	0.1366911345
354	0.1364617094
355	0.1360579895
356	0.1358020179
357	0.1355311613
358	0.1352573996
359	0.1350541677
360	0.1347387655
361	0.1344037731
362	0.134117771
363	0.1339169011
364	0.1336579756
365	0.1333071793
366	0.1331155999
367	0.1329407267
368	0.1325544181
369	0.1322857729
370	0.1319961847
371	0.1317120929
372	0.1314495819
373	0.1311711396
374	0.1309255755
375	0.1306812793
376	0.1304937915
377	0.1302885292
378	0.1300704811
379	0.1297788601
380	0.1295521129
381	0.1293816125
382	0.1291215466
383	0.1286903872
384	0.1285706419
385	0.1283195836
386	0.1281355276
387	0.12776724
388	0.127366832
389	0.1271379977
390	0.1268965227
391	0.1266676586
392	0.1263479652
393	0.1261042016
394	0.1259036735
395	0.1256194321
396	0.125239478
397	0.124854882
398	0.1246261465
399	0.1243345862
400	0.1239921191
401	0.1238251596
402	0.1235747786
403	0.1233447198
404	0.122812231
405	0.1226810248
406	0.1224939238
407	0.1220430875
408	0.1218052586
409	0.121576587
410	0.1213154489
411	0.1210400267
412	0.1207658941
413	0.1205413805
414	0.1202754441
415	0.1201474222
416	0.1198719942
417	0.119703884
418	0.1194779669
419	0.1191931037
420	0.118935623
421	0.1188265373
422	0.1185147742
423	0.1181556096
424	0.1177838576
425	0.1173608758
426	0.1171301938
427	0.1167659027
428	0.1165597311
429	0.1161886548
430	0.1158336591
431	0.1156285772
432	0.1153373999
433	0.1150633076
434	0.1148654687
435	0.1145990393
436	0.1143970474
437	0.1141944465
438	0.1139498632
439	0.1137736995
440	0.1134639614
441	0.1133724721
442	0.1130465231
443	0.1128156149
444	0.1125134895
445	0.1123159369
