fold,auc_sofa,auc_cat,delta
1,0.5494027711419016,0.7059722885809843,0.15656951743908265
2,0.5824175824175825,0.699187768752986,0.11677018633540359
3,0.6298855112514805,0.6904855902092379,0.06060007895775743
4,0.5959313725490196,0.6795098039215686,0.08357843137254894
5,0.5482490655124925,0.6399763918945505,0.09172732638205794
media,0.5811772605744954,0.6830263686718656,0.10184910809737024
std,0.030612416145043446,0.023276652711125508,
